# Real hourly DHW-demand shapes by building category -- EN 12831-3:2017
# Annex Table B.2 ("Hourly values of the relative hot-water demand based
# on volume for different building categories"), corrected/assembled
# variant (the workbook's own "used in the calculation" version, not its
# "ORIGINAL"/reference-only copy, which it flags as not summing to 100%).
#
# SOURCE: EPB Center's free EN 12831-3:2017 demonstration spreadsheet
# (Demo_EN_12831-3_DHW_needs_2021-09-02.xlsx, https://epb.center/document/
# demo-en-12831-3/), `Annex_B` sheet, rows 68-91. Read directly, not a
# secondary citation. Cross-checked (2026-08-18) against a second,
# independently-obtained workbook (Demo_EN_16798-1_Use_Profile_Generator_
# 2021-09-01.xlsm's `DHW_Tap_profiles` sheet) -- byte-identical
# percentages in both. See .claude/residential/dhw_cooking_literature_
# review.md for the full provenance trail, and docs/dhw/design.md for how
# this table is used.
#
# Surfaced by buem's own DHW/cooking work (D:\test\buem\.claude\
# dhw_cooking_heat_handoff.md's "Real EN 12831-3 Annex data found"
# section), which extracted this same workbook's delta-T/annual-volume
# constants for its own energy conversion but deliberately left this
# *timing-shape* table for occupancy -- an occupant-behavior curve is
# this repo's ownership boundary (CLAUDE.md), not buem's.
#
# WHAT THIS REPLACES: generate_dhw_draws()'s `washing_and_dressing`
# timing envelope is a transition-weighted n_active proxy (see
# households/dhw.py's `_washing_and_dressing_envelope`) -- a principled
# derivation from data already on hand, not a measured curve. This table
# is that measured curve. Pass `demand_shape_category=<a column name
# below>` to generate_dhw_draws() to use it instead of the per-fixture
# activity_link envelopes -- see that function's own docstring for why
# this is a *whole-household aggregate* alternative, not a drop-in
# replacement for one specific fixture's envelope: EN 12831-3's Table B.2
# is not decomposed by fixture (it covers all hot-water end uses combined,
# kitchen-sink draws included), so opting in overrides every owned
# fixture's timing uniformly for that household/building.
#
# Values are fractions (0-1) of each category's own daily DHW-volume
# total, one column per building category, converted from the workbook's
# own percent (0-100) units. generate_dhw_draws() re-normalizes by each
# column's own sum before use regardless, so this rescaling is for this
# file's own readability as a probability table, not load-bearing for
# correctness.
#
# Generated by scripts/extract_dhw_demand_shape_categories.py from the
# source workbook -- re-run that script to regenerate this file from
# scratch. Like dhw_tapping_categories.csv, this file is also meant to
# stay directly user-editable afterward (e.g. to add a region-specific
# variant column, or hand-tune a category for a specific scenario) --
# generate_dhw_draws() validates the table's shape (hour 0-23 present,
# non-negative, each column roughly summing to 1), not its exact values.
hour,single_family_dwelling,apartment_dwelling,elderly_home,student_residence,hospital
0,0.018,0.01,0.003,0.014,0.004
1,0.01,0.01,0.003,0.01,0.004
2,0.006,0.01,0.004,0.005,0.005
3,0.003,0.0,0.007,0.006,0.008
4,0.004,0.0,0.01,0.013,0.012
5,0.006,0.01,0.018,0.034,0.028
6,0.024,0.03,0.093,0.058,0.075
7,0.047,0.06,0.157,0.058,0.105
8,0.068,0.08,0.081,0.062,0.08
9,0.057,0.06,0.075,0.054,0.075
10,0.061,0.05,0.07,0.051,0.075
11,0.061,0.05,0.066,0.047,0.07
12,0.063,0.06,0.071,0.042,0.075
13,0.064,0.06,0.051,0.045,0.055
14,0.051,0.05,0.038,0.041,0.043
15,0.044,0.04,0.033,0.043,0.037
16,0.043,0.04,0.041,0.053,0.045
17,0.047,0.05,0.029,0.06,0.032
18,0.057,0.06,0.061,0.066,0.07
19,0.065,0.07,0.044,0.06,0.045
20,0.066,0.07,0.014,0.057,0.02
21,0.059,0.06,0.018,0.054,0.02
22,0.045,0.05,0.009,0.039,0.012
23,0.031,0.02,0.004,0.028,0.005
